interaction_id,traveller_id,poi_id,month,time_period,hotel_zone,travel_time_minutes,travel_distance_km,estimated_cost,preference_match,party_match,context_match,pace_match,accessibility_match,quality_component,cost_penalty,travel_burden,synthetic_suitability_score,split
PI0001994,T000250,POI0029,November,morning,Z09,128.7,79.6,1585.6,70.73,65.0,80.0,95.0,100.0,58.1,6.85,51.48,61.31,train
PI0001995,T000250,POI0004,November,evening,Z09,155.0,84.0,2090.9,72.89,44.0,84.0,95.25,100.0,78.8,15.8,62.0,67.22,train
PI0001996,T000250,POI0010,November,morning,Z09,139.4,87.12,2502.2,81.13,53.0,62.0,90.0,100.0,86.1,39.38,55.76,70.27,train
PI0001997,T000250,POI0014,November,evening,Z09,147.6,81.7,4932.0,83.05,70.0,50.0,78.25,100.0,88.2,100.0,59.04,51.37,train
PI0001998,T000250,POI0010,November,evening,Z09,139.4,87.12,2502.2,81.13,53.0,71.0,90.0,100.0,86.1,39.38,55.76,55.82,train
PI0001999,T000250,POI0044,November,afternoon,Z09,60.3,37.71,1209.6,66.5,61.0,56.0,89.0,100.0,54.5,17.57,24.12,57.8,train
PI0002000,T000250,POI0057,November,evening,Z09,69.0,39.06,827.0,62.78,93.0,39.0,87.25,100.0,60.6,3.02,27.6,75.06,train
PI0002001,T000251,POI0002,July,afternoon,Z01,12.0,0.34,20.0,81.49,67.0,55.0,71.2,100.0,67.0,0.07,4.8,65.18,train
PI0002002,T000251,POI0031,July,evening,Z01,19.4,10.8,203.3,85.99,78.0,49.0,72.0,100.0,58.3,0.13,7.76,70.35,train
PI0002003,T000251,POI0028,July,morning,Z01,7.0,3.73,71.5,75.1,96.0,56.0,71.5,100.0,63.8,0.0,2.8,80.74,train
PI0002004,T000251,POI0032,July,evening,Z01,19.4,10.8,221.3,84.63,64.0,39.0,69.1,100.0,74.7,0.22,7.76,73.41,train
PI0002005,T000251,POI0012,July,morning,Z01,3.8,2.02,34.0,72.79,66.0,63.0,73.8,100.0,66.6,0.0,1.52,71.91,train
PI0002006,T000251,POI0019,July,morning,Z01,13.8,7.84,150.1,74.8,69.0,42.0,73.9,100.0,65.5,0.0,5.52,80.51,train
PI0002007,T000251,POI0045,July,morning,Z01,71.1,43.86,1009.9,78.23,69.0,68.0,72.15,100.0,72.7,1.04,28.44,76.01,train
PI0002008,T000251,POI0006,July,evening,Z01,12.0,0.34,6.0,71.91,85.0,63.92,74.4,100.0,64.0,0.0,4.8,53.91,train
PI0002009,T000252,POI0007,December,evening,Z06,27.3,14.29,253.7,76.17,70.0,92.0,73.25,100.0,59.6,0.0,10.92,76.68,train
PI0002010,T000252,POI0005,December,afternoon,Z06,19.2,11.42,2696.6,60.83,85.0,73.0,87.75,100.0,68.9,86.87,7.68,66.52,train
PI0002011,T000252,POI0012,December,evening,Z06,27.3,14.29,253.7,78.93,66.0,68.0,81.0,100.0,66.6,0.0,10.92,76.22,train
PI0002012,T000252,POI0050,December,evening,Z06,130.8,72.24,1311.1,63.42,71.0,41.0,84.0,100.0,82.4,0.59,52.32,48.92,train
PI0002013,T000252,POI0049,December,afternoon,Z06,130.8,72.24,1303.1,83.79,74.0,81.0,95.5,100.0,79.2,0.31,52.32,63.48,train
PI0002014,T000252,POI0034,December,morning,Z06,10.2,0.97,1862.1,77.3,54.0,5.0,83.5,100.0,59.7,64.94,4.08,50.67,train
PI0002015,T000252,POI0004,December,evening,Z06,19.2,11.42,641.6,60.73,80.0,84.0,95.25,100.0,78.8,15.0,7.68,66.5,train
PI0002016,T000252,POI0057,December,morning,Z06,58.6,33.29,709.1,58.57,62.0,82.0,87.25,100.0,60.6,2.87,23.44,65.68,train
PI0002017,T000253,POI0047,July,morning,Z06,57.7,36.79,681.1,75.32,90.0,88.0,83.1,100.0,70.7,0.1,23.08,77.01,validation
PI0002018,T000253,POI0020,July,evening,Z06,35.7,20.48,400.1,73.82,69.0,60.27,85.2,100.0,61.3,0.16,14.28,69.12,validation
PI0002019,T000253,POI0017,July,afternoon,Z06,32.9,17.46,326.6,79.78,60.0,61.0,86.4,100.0,60.8,0.06,13.16,76.14,validation
PI0002020,T000253,POI0043,July,evening,Z06,57.7,36.79,696.1,63.83,55.0,32.75,90.0,100.0,62.9,0.16,23.08,65.12,validation
PI0002021,T000253,POI0006,July,evening,Z06,19.2,11.42,212.6,67.2,52.0,54.35,81.3,100.0,64.0,0.0,7.68,81.96,validation
PI0002022,T000253,POI0053,July,morning,Z06,130.8,72.24,1461.1,70.18,75.0,88.0,87.45,100.0,54.4,0.62,52.32,73.33,validation
PI0002023,T000253,POI0033,July,afternoon,Z06,10.2,0.97,546.1,72.91,91.0,46.44,87.0,100.0,54.6,2.02,4.08,75.89,validation
PI0002024,T000253,POI0043,July,evening,Z06,57.7,36.79,696.1,63.83,55.0,33.17,90.0,100.0,62.9,0.16,23.08,57.11,validation
PI0002025,T000254,POI0004,June,afternoon,Z07,33.0,21.24,824.8,68.52,80.0,66.0,88.35,100.0,78.8,12.99,13.2,73.55,train
PI0002026,T000254,POI0060,June,afternoon,Z07,55.4,29.95,523.7,72.86,62.0,15.11,80.25,100.0,85.3,0.0,22.16,65.55,train
PI0002027,T000254,POI0046,June,evening,Z07,51.8,29.96,594.8,77.5,59.0,60.0,89.55,100.0,59.8,2.85,20.72,83.27,train
PI0002028,T000254,POI0003,June,evening,Z07,33.0,21.24,481.8,82.41,70.0,93.0,88.2,100.0,70.0,2.6,13.2,94.7,train
PI0002029,T000254,POI0001,June,evening,Z07,33.0,21.24,481.8,74.91,79.0,64.0,89.85,100.0,60.4,2.6,13.2,80.03,train
PI0002030,T000254,POI0056,June,afternoon,Z07,55.4,29.95,1771.7,69.35,72.0,42.5,70.95,100.0,50.2,37.79,22.16,53.11,train
PI0002031,T000254,POI0031,June,morning,Z07,18.3,11.27,214.3,69.67,78.0,70.0,88.5,100.0,58.3,0.73,7.32,75.67,train
PI0002032,T000254,POI0045,June,evening,Z07,51.8,29.96,699.8,73.45,69.0,45.0,88.05,100.0,72.7,6.03,20.72,74.29,train
PI0002033,T000255,POI0025,October,morning,Z01,7.0,3.73,226.5,77.23,51.0,82.0,82.5,100.0,75.9,1.91,2.8,81.1,validation
PI0002034,T000255,POI0026,October,afternoon,Z01,7.0,3.73,489.5,70.55,86.0,72.0,100.0,100.0,51.4,5.15,2.8,79.63,validation
PI0002035,T000255,POI0016,October,morning,Z01,8.5,5.16,100.6,71.16,59.0,85.0,88.75,100.0,69.1,0.0,3.4,85.19,validation
PI0002036,T000255,POI0016,October,evening,Z01,8.5,5.16,100.6,71.16,59.0,88.0,88.75,100.0,69.1,0.0,3.4,83.38,validation
PI0002037,T000255,POI0058,October,afternoon,Z01,69.7,44.97,914.6,76.95,67.0,78.0,92.75,100.0,68.6,0.37,27.88,67.83,validation
PI0002038,T000255,POI0009,October,afternoon,Z01,3.8,2.02,6126.0,69.49,47.0,84.0,72.25,100.0,61.1,75.12,1.52,54.81,validation
PI0002039,T000255,POI0032,October,afternoon,Z01,19.4,10.8,249.3,75.94,80.0,70.0,100.0,100.0,74.7,0.86,7.76,86.66,validation
PI0002040,T000255,POI0010,October,morning,Z01,3.8,2.02,1651.0,80.65,53.0,62.0,90.0,100.0,86.1,19.94,1.52,77.59,validation
PI0002041,T000256,POI0049,September,afternoon,Z09,10.9,0.35,14.5,65.01,74.0,81.0,88.2,100.0,79.2,0.17,4.36,76.92,train
PI0002042,T000256,POI0013,September,morning,Z09,147.6,81.7,1617.0,64.84,73.0,70.0,88.05,100.0,69.4,1.44,59.04,53.42,train
PI0002043,T000256,POI0039,September,morning,Z09,141.9,74.97,2729.6,54.87,67.0,5.0,76.8,100.0,88.0,25.26,56.76,56.55,train
PI0002044,T000256,POI0015,September,evening,Z09,147.6,81.7,1932.0,54.27,91.0,62.0,86.4,100.0,55.8,7.55,59.04,76.2,train
PI0002045,T000256,POI0043,September,afternoon,Z09,60.3,37.71,775.6,79.97,67.0,26.33,90.0,100.0,62.9,0.84,24.12,79.24,train
PI0002046,T000256,POI0041,September,morning,Z09,141.9,74.97,1449.6,92.51,68.0,60.96,84.3,100.0,60.8,0.41,56.76,86.2,train
PI0002047,T000256,POI0029,September,afternoon,Z09,128.7,79.6,1585.6,86.75,77.0,70.0,88.5,100.0,58.1,3.61,51.48,71.04,train
PI0002048,T000256,POI0051,September,morning,Z09,10.9,0.35,1829.5,92.96,83.0,78.0,79.2,100.0,74.2,35.42,4.36,65.95,train
PI0002049,T000257,POI0055,April,afternoon,Z09,69.0,39.06,999.0,76.81,68.0,84.0,73.0,100.0,55.1,3.53,27.6,84.61,test
PI0002050,T000257,POI0020,April,evening,Z09,164.4,89.55,1598.3,73.53,50.8,84.0,69.9,100.0,61.3,1.24,65.76,58.85,test
PI0002051,T000257,POI0015,April,afternoon,Z09,147.6,81.7,2440.0,75.1,75.2,84.0,72.7,100.0,55.8,12.45,59.04,72.94,test
PI0002052,T000257,POI0016,April,evening,Z09,147.6,81.7,1543.0,75.29,79.0,88.0,72.25,100.0,69.1,0.0,59.04,69.17,test
PI0002053,T000257,POI0010,April,afternoon,Z09,139.4,87.12,3902.2,74.68,92.6,60.0,72.0,100.0,86.1,34.27,55.76,70.82,test
PI0002054,T000257,POI0002,April,evening,Z09,155.0,84.0,1691.9,78.29,69.8,58.0,71.2,100.0,67.0,0.42,62.0,71.1,test
PI0002055,T000257,POI0023,April,afternoon,Z09,164.4,89.55,6721.3,70.21,53.4,63.0,77.05,100.0,73.0,72.33,65.76,46.21,test
PI0002056,T000257,POI0056,April,evening,Z09,69.0,39.06,3601.0,67.01,73.2,63.0,77.85,100.0,50.2,39.64,27.6,58.17,test
PI0002057,T000258,POI0011,May,evening,Z02,14.5,0.33,182.2,66.91,69.0,41.0,99.25,100.0,59.9,2.49,5.8,69.19,train
PI0002058,T000258,POI0037,May,afternoon,Z02,41.6,24.46,396.6,56.9,69.0,67.0,83.25,100.0,63.0,0.0,16.64,65.87,train
PI0002059,T000258,POI0054,May,evening,Z02,142.0,89.69,1590.5,73.63,71.0,56.0,100.0,100.0,79.8,0.34,56.8,76.41,train
PI0002060,T000258,POI0043,May,afternoon,Z02,93.9,50.96,987.4,48.38,68.0,61.0,92.5,100.0,62.9,0.61,37.56,60.29,train
PI0002061,T000258,POI0002,May,morning,Z02,3.2,1.95,48.8,74.08,62.0,84.0,94.0,100.0,67.0,0.2,1.28,87.92,train
PI0002062,T000258,POI0050,May,afternoon,Z02,142.0,89.69,1583.5,49.54,87.0,79.0,84.0,100.0,82.4,0.24,56.8,71.16,train
PI0002063,T000258,POI0055,May,morning,Z02,80.8,42.78,929.3,65.71,68.0,83.0,85.0,100.0,55.1,1.88,32.32,74.25,train
PI0002064,T000258,POI0037,May,evening,Z02,41.6,24.46,396.6,56.9,69.0,75.0,83.25,100.0,63.0,0.0,16.64,80.04,train
PI0002065,T000259,POI0057,November,morning,Z03,74.5,44.74,990.3,83.75,75.2,82.0,87.25,65.0,60.6,1.64,29.8,69.42,train
PI0002066,T000259,POI0012,November,evening,Z03,5.3,3.18,58.0,69.85,47.2,68.0,81.0,80.0,66.6,0.0,2.12,70.92,train
PI0002067,T000259,POI0020,November,evening,Z03,5.4,3.33,127.6,76.32,50.8,84.0,100.0,80.0,61.3,0.86,2.16,73.15,train
PI0002068,T000259,POI0030,November,evening,Z03,15.9,8.18,801.9,68.31,58.0,48.0,77.0,38.0,75.2,8.56,6.36,69.29,train
PI0002069,T000259,POI0052,November,morning,Z03,145.6,86.76,1508.7,74.42,64.0,87.0,80.25,100.0,88.6,0.0,58.24,80.89,train
PI0002070,T000259,POI0037,November,morning,Z03,41.1,26.42,451.1,59.89,62.0,64.0,83.25,94.0,63.0,0.0,16.44,69.51,train
PI0002071,T000259,POI0057,November,afternoon,Z03,74.5,44.74,990.3,83.75,75.2,75.0,87.25,65.0,60.6,1.64,29.8,79.36,train
PI0002072,T000259,POI0028,November,afternoon,Z03,15.9,8.18,141.9,68.24,61.6,72.0,92.5,80.0,63.8,0.0,6.36,70.28,train
PI0002073,T000260,POI0023,June,afternoon,Z02,11.8,6.04,7897.1,79.2,53.4,47.53,73.35,100.0,73.0,24.0,4.72,72.08,train
PI0002074,T000260,POI0022,June,afternoon,Z02,11.8,6.04,6819.1,68.35,25.8,15.0,84.0,100.0,55.1,20.68,4.72,63.13,train
PI0002075,T000260,POI0030,June,morning,Z02,10.1,5.54,1523.4,64.52,58.0,70.9,80.7,100.0,75.2,4.37,4.04,67.19,train
PI0002076,T000260,POI0038,June,morning,Z02,41.6,24.46,655.6,79.37,71.8,47.8,86.1,100.0,59.1,0.8,16.64,79.84,train
PI0002077,T000260,POI0002,June,afternoon,Z02,3.2,1.95,80.8,63.59,69.8,55.0,89.1,100.0,67.0,0.14,1.28,72.54,train
PI0002078,T000260,POI0001,June,afternoon,Z02,3.2,1.95,320.8,67.97,62.6,57.0,89.85,100.0,60.4,0.88,1.28,76.7,train
PI0002079,T000260,POI0058,June,morning,Z02,80.8,42.78,857.3,64.01,84.6,64.0,89.85,100.0,68.6,0.18,32.32,71.76,train
PI0002080,T000260,POI0021,June,evening,Z02,11.8,6.04,1195.1,79.87,54.2,58.0,78.0,100.0,79.2,3.35,4.72,86.89,train
PI0002081,T000261,POI0030,July,morning,Z06,17.9,9.21,588.1,61.12,90.0,66.49,80.7,100.0,75.2,4.43,7.16,70.25,train
PI0002082,T000261,POI0016,July,afternoon,Z06,32.9,17.46,310.6,83.78,60.0,34.98,87.75,100.0,69.1,0.0,13.16,76.6,train
PI0002083,T000261,POI0005,July,morning,Z06,19.2,11.42,2696.6,80.3,100.0,51.48,87.15,100.0,68.9,27.06,7.68,83.08,train
PI0002084,T000261,POI0032,July,afternoon,Z06,10.2,0.97,47.1,66.48,71.0,70.0,82.8,100.0,74.7,0.46,4.08,80.83,train
PI0002085,T000261,POI0002,July,afternoon,Z06,19.2,11.42,226.6,62.69,61.0,55.0,89.1,100.0,67.0,0.15,7.68,72.4,train
PI0002086,T000261,POI0043,July,morning,Z06,57.7,36.79,696.1,83.76,55.0,41.61,90.0,100.0,62.9,0.47,23.08,75.22,train
PI0002087,T000261,POI0044,July,morning,Z06,57.7,36.79,1130.1,57.31,48.0,39.14,87.9,100.0,54.5,5.2,23.08,50.59,train
PI0002088,T000261,POI0021,July,evening,Z06,35.7,20.48,653.1,79.52,68.0,58.0,78.0,100.0,79.2,3.22,14.28,86.9,train
PI0002089,T000262,POI0027,December,morning,Z01,7.0,3.73,207.5,69.69,57.8,94.0,100.0,100.0,61.5,3.52,2.8,83.0,test
PI0002090,T000262,POI0017,December,afternoon,Z01,8.5,5.16,122.6,67.31,71.0,61.0,98.5,100.0,60.8,0.57,3.4,86.02,test
PI0002091,T000262,POI0022,December,evening,Z01,13.8,7.84,3232.1,63.07,25.8,95.0,82.5,100.0,55.1,79.69,5.52,64.81,test
PI0002092,T000262,POI0054,December,afternoon,Z01,151.8,84.05,1547.5,63.64,76.2,66.0,100.0,100.0,79.8,0.93,60.72,65.1,test
PI0002093,T000262,POI0034,December,evening,Z01,19.4,10.8,3037.3,75.67,18.0,95.0,83.5,100.0,59.7,73.9,7.76,57.22,test
PI0002094,T000262,POI0060,December,morning,Z01,69.7,44.97,884.6,80.18,69.4,75.0,76.25,100.0,85.3,0.0,27.88,82.04,test
PI0002095,T000262,POI0005,December,morning,Z01,12.0,0.34,4172.0,77.09,56.8,70.0,87.75,100.0,68.9,100.0,4.8,55.9,test
PI0002096,T000262,POI0006,December,afternoon,Z01,12.0,0.34,6.0,82.55,49.4,69.0,78.0,100.0,64.0,0.0,4.8,86.26,test
PI0002097,T000263,POI0012,November,afternoon,Z01,3.8,2.02,34.0,77.94,79.0,73.0,81.0,100.0,66.6,0.0,1.52,89.35,test
PI0002098,T000263,POI0046,November,afternoon,Z01,71.1,43.86,904.9,73.86,73.0,59.0,93.25,100.0,59.8,1.68,28.44,76.89,test
PI0002099,T000263,POI0005,November,morning,Z01,12.0,0.34,2490.0,66.69,74.0,70.0,87.75,100.0,68.9,44.34,4.8,59.76,test
PI0002100,T000263,POI0009,November,afternoon,Z01,3.8,2.02,3904.0,72.78,64.0,84.0,72.25,100.0,61.1,69.08,1.52,61.39,test
PI0002101,T000263,POI0059,November,afternoon,Z01,69.7,44.97,908.6,73.52,64.0,66.0,92.5,100.0,79.4,0.43,27.88,80.77,test
PI0002102,T000263,POI0051,November,afternoon,Z01,151.8,84.05,3335.5,79.37,79.0,64.0,74.5,100.0,74.2,32.56,60.72,79.94,test
PI0002103,T000263,POI0010,November,evening,Z01,3.8,2.02,1103.0,83.38,53.0,71.0,90.0,100.0,86.1,19.08,1.52,58.61,test
PI0002104,T000263,POI0032,November,evening,Z01,19.4,10.8,221.3,79.88,59.0,39.0,100.0,100.0,74.7,0.75,7.76,86.16,test
PI0002105,T000264,POI0029,April,morning,Z02,10.1,5.54,290.4,78.13,65.0,80.0,88.5,100.0,58.1,9.84,4.04,76.55,train
PI0002106,T000264,POI0053,April,morning,Z02,142.0,89.69,1733.5,61.87,71.0,88.0,87.45,100.0,54.4,8.83,56.8,71.23,train
PI0002107,T000264,POI0048,April,morning,Z02,93.9,50.96,944.4,76.38,58.0,50.0,88.8,100.0,46.3,0.0,37.56,63.61,train
PI0002108,T000264,POI0049,April,afternoon,Z02,142.0,89.69,1575.5,71.47,45.0,81.0,88.2,100.0,79.2,0.48,56.8,68.56,train
PI0002109,T000264,POI0048,April,afternoon,Z02,93.9,50.96,944.4,76.38,58.0,79.0,88.8,100.0,46.3,0.0,37.56,75.1,train
PI0002110,T000264,POI0025,April,afternoon,Z02,10.1,5.54,207.4,78.04,66.0,58.0,84.0,100.0,75.9,5.45,4.04,82.17,train
PI0002111,T000264,POI0030,April,morning,Z02,10.1,5.54,511.4,60.77,65.0,88.0,80.7,100.0,75.2,21.53,4.04,62.68,train
PI0002112,T000264,POI0041,April,evening,Z02,41.6,24.46,417.6,78.63,39.0,86.0,84.3,100.0,60.8,1.11,16.64,75.03,train
PI0002113,T000265,POI0043,May,afternoon,Z04,103.8,57.03,1138.3,64.86,45.6,61.0,90.0,100.0,62.9,1.51,41.52,67.85,train
PI0002114,T000265,POI0009,May,afternoon,Z04,11.5,6.52,6050.9,67.97,98.2,84.0,77.85,100.0,61.1,100.0,4.6,66.05,train
PI0002115,T000265,POI0013,May,afternoon,Z04,6.3,3.23,181.9,76.03,66.6,70.0,88.05,100.0,69.4,2.7,2.52,76.0,train
PI0002116,T000265,POI0005,May,evening,Z04,12.3,7.82,4295.8,67.66,56.8,52.0,87.15,100.0,68.9,93.72,4.92,66.84,train
PI0002117,T000265,POI0035,May,afternoon,Z04,34.8,20.09,365.4,84.0,72.2,70.0,87.3,100.0,50.8,0.0,13.92,87.75,train
PI0002118,T000265,POI0013,May,morning,Z04,6.3,3.23,181.9,76.03,66.6,70.0,88.05,100.0,69.4,2.7,2.52,86.56,train
PI0002119,T000265,POI0057,May,afternoon,Z04,100.3,53.22,1031.9,64.03,75.2,75.0,86.85,100.0,60.6,2.83,40.12,51.51,train
PI0002120,T000265,POI0045,May,evening,Z04,103.8,57.03,1376.3,79.33,61.6,45.0,88.05,100.0,72.7,6.86,41.52,68.52,train
PI0002121,T000266,POI0020,December,afternoon,Z08,94.2,59.11,1168.5,85.73,74.0,55.0,69.9,100.0,61.3,2.11,37.68,71.64,train
PI0002122,T000266,POI0046,December,afternoon,Z08,10.2,0.86,99.1,75.76,59.0,59.0,71.35,100.0,59.8,4.62,4.08,79.72,train
PI0002123,T000266,POI0052,December,morning,Z08,71.3,37.85,666.4,79.96,100.0,87.0,73.95,100.0,88.6,0.0,28.52,95.06,train
PI0002124,T000266,POI0014,December,morning,Z08,92.1,54.2,4407.0,79.06,69.0,60.0,74.35,100.0,88.2,100.0,36.84,52.73,train
PI0002125,T000266,POI0031,December,morning,Z08,61.1,33.99,650.7,64.55,78.0,70.0,72.0,100.0,58.3,1.18,24.44,71.83,train
PI0002126,T000266,POI0031,December,morning,Z08,61.1,33.99,650.7,64.55,78.0,70.0,72.0,100.0,58.3,1.18,24.44,57.94,train
PI0002127,T000266,POI0044,December,afternoon,Z08,10.2,0.86,482.1,67.9,61.0,56.0,72.2,100.0,54.5,23.45,4.08,72.7,train
PI0002128,T000266,POI0013,December,morning,Z08,92.1,54.2,1092.0,62.47,73.0,70.0,72.15,100.0,69.4,3.64,36.84,75.27,train
PI0002129,T000267,POI0043,December,evening,Z08,10.2,0.86,96.1,77.28,45.6,61.0,92.5,100.0,62.9,0.54,4.08,69.03,train
PI0002130,T000267,POI0009,December,morning,Z08,95.8,52.69,8975.2,64.05,98.2,67.0,72.25,100.0,61.1,47.68,38.32,49.52,train
PI0002131,T000267,POI0035,December,evening,Z08,61.1,33.99,626.7,72.75,72.2,78.0,88.0,100.0,50.8,0.0,24.44,57.18,train
PI0002132,T000267,POI0010,December,morning,Z08,95.8,52.69,3426.2,78.4,92.6,62.0,90.0,100.0,86.1,14.68,38.32,61.11,train
PI0002133,T000267,POI0009,December,afternoon,Z08,95.8,52.69,8975.2,64.05,98.2,84.0,72.25,100.0,61.1,47.68,38.32,71.99,train
PI0002134,T000267,POI0008,December,afternoon,Z08,95.8,52.69,957.2,67.62,64.8,62.0,96.0,100.0,71.5,0.0,38.32,69.83,train
PI0002135,T000267,POI0049,December,afternoon,Z08,71.3,37.85,683.4,61.9,48.6,81.0,95.5,100.0,79.2,0.1,28.52,60.01,train
PI0002136,T000267,POI0033,December,morning,Z08,61.1,33.99,1883.7,71.58,58.6,81.0,87.5,100.0,54.6,7.48,24.44,70.51,train
PI0002137,T000268,POI0039,May,morning,Z01,37.7,21.59,1695.1,64.28,67.0,5.0,70.5,100.0,88.0,15.38,15.08,72.56,train
PI0002138,T000268,POI0051,May,morning,Z01,151.8,84.05,3335.5,77.74,83.0,78.0,74.5,100.0,74.2,21.57,60.72,73.84,train
PI0002139,T000268,POI0052,May,afternoon,Z01,151.8,84.05,1511.5,59.57,100.0,41.0,80.25,100.0,88.6,0.0,60.72,64.37,train
PI0002140,T000268,POI0022,May,evening,Z01,13.8,7.84,2022.1,69.42,80.0,95.0,82.5,100.0,55.1,22.14,5.52,78.2,train
PI0002141,T000268,POI0051,May,morning,Z01,151.8,84.05,3335.5,77.74,83.0,78.0,74.5,100.0,74.2,21.57,60.72,73.93,train
PI0002142,T000268,POI0028,May,morning,Z01,7.0,3.73,71.5,80.69,96.0,56.0,92.5,100.0,63.8,0.0,2.8,83.55,train
PI0002143,T000268,POI0057,May,afternoon,Z01,69.7,44.97,966.6,76.05,62.0,75.0,87.25,100.0,60.6,0.97,27.88,68.5,train
PI0002144,T000268,POI0060,May,morning,Z01,69.7,44.97,884.6,71.83,62.0,75.0,76.25,100.0,85.3,0.0,27.88,71.78,train
PI0002145,T000269,POI0045,November,evening,Z06,57.7,36.79,1197.1,78.35,62.56,45.0,72.15,100.0,72.7,2.39,23.08,76.52,test
PI0002146,T000269,POI0035,November,evening,Z06,10.2,0.97,5.1,74.11,62.92,78.0,72.4,100.0,50.8,0.0,4.08,83.97,test
PI0002147,T000269,POI0058,November,evening,Z06,58.6,33.29,677.1,78.94,77.56,54.0,71.45,100.0,68.6,0.22,23.44,71.6,test
PI0002148,T000269,POI0008,November,evening,Z06,27.3,14.29,253.7,69.75,65.68,90.0,70.8,100.0,71.5,0.0,10.92,84.34,test
PI0002149,T000269,POI0030,November,evening,Z06,17.9,9.21,1386.1,72.07,55.2,48.0,74.6,100.0,75.2,5.28,7.16,82.64,test
PI0002150,T000269,POI0005,November,morning,Z06,19.2,11.42,7735.6,78.45,39.68,70.0,72.45,100.0,68.9,32.99,7.68,63.33,test
PI0002151,T000269,POI0049,November,afternoon,Z06,130.8,72.24,1318.1,77.08,57.56,81.0,70.9,100.0,79.2,0.11,52.32,73.74,test
PI0002152,T000269,POI0050,November,afternoon,Z06,130.8,72.24,1334.1,76.81,57.64,79.0,73.2,100.0,82.4,0.18,52.32,77.76,test
PI0002153,T000270,POI0024,October,morning,Z01,13.8,7.84,150.1,68.23,68.0,82.0,78.45,100.0,63.4,0.0,5.52,79.47,train
PI0002154,T000270,POI0006,October,afternoon,Z01,12.0,0.34,6.0,76.14,85.0,69.0,81.3,100.0,64.0,0.0,4.8,67.86,train
PI0002155,T000270,POI0015,October,morning,Z01,8.5,5.16,489.6,67.35,91.0,84.0,86.4,100.0,55.8,15.66,3.4,85.78,train
PI0002156,T000270,POI0040,October,evening,Z01,37.7,21.59,394.1,89.35,88.0,84.0,82.5,100.0,45.0,0.0,15.08,83.98,train
PI0002157,T000270,POI0037,October,evening,Z01,37.7,21.59,394.1,81.04,86.0,75.0,84.45,100.0,63.0,0.0,15.08,90.27,train
PI0002158,T000270,POI0029,October,morning,Z01,7.0,3.73,257.5,61.21,77.0,80.0,88.5,100.0,58.1,7.49,2.8,76.89,train
PI0002159,T000270,POI0037,October,afternoon,Z01,37.7,21.59,394.1,81.04,86.0,67.0,84.45,100.0,63.0,0.0,15.08,87.13,train
PI0002160,T000270,POI0007,October,morning,Z01,3.8,2.02,34.0,77.48,70.0,92.0,78.45,100.0,59.6,0.0,1.52,84.9,train
PI0002161,T000271,POI0025,April,afternoon,Z04,21.0,11.17,483.7,81.74,28.2,58.0,84.0,100.0,75.9,1.26,8.4,81.17,train
PI0002162,T000271,POI0056,April,evening,Z04,100.3,53.22,4565.9,73.81,73.2,63.0,70.95,100.0,50.2,17.34,40.12,68.59,train
PI0002163,T000271,POI0011,April,evening,Z04,11.5,6.52,512.9,68.35,48.0,41.0,85.95,100.0,59.9,1.92,4.6,72.2,train
PI0002164,T000271,POI0048,April,afternoon,Z04,103.8,57.03,1071.3,81.55,87.4,79.0,88.8,100.0,46.3,0.0,41.52,67.12,train
PI0002165,T000271,POI0018,April,afternoon,Z04,6.3,3.23,1141.9,82.81,0.0,15.0,77.1,100.0,86.2,5.12,2.52,50.62,train
PI0002166,T000271,POI0018,April,afternoon,Z04,6.3,3.23,1141.9,82.81,0.0,15.0,77.1,100.0,86.2,5.12,2.52,60.3,train
PI0002167,T000271,POI0030,April,afternoon,Z04,21.0,11.17,1384.7,67.96,58.0,72.0,80.7,100.0,75.2,5.52,8.4,67.88,train
PI0002168,T000271,POI0042,April,morning,Z04,50.2,26.96,1186.0,72.49,93.0,82.0,88.5,100.0,66.8,3.45,20.08,77.31,train
PI0002169,T000272,POI0058,January,evening,Z09,69.0,39.06,765.0,68.85,86.0,54.0,92.75,100.0,68.6,0.67,27.6,77.98,test
PI0002170,T000272,POI0043,January,morning,Z09,60.3,37.71,775.6,71.15,68.0,60.0,92.5,100.0,62.9,1.44,24.12,67.33,test
PI0002171,T000272,POI0042,January,afternoon,Z09,141.9,74.97,1725.6,60.0,52.0,71.0,95.0,100.0,66.8,9.97,56.76,46.88,test
PI0002172,T000272,POI0009,January,morning,Z09,139.4,87.12,5303.2,78.94,64.0,67.0,72.25,100.0,61.1,100.0,55.76,48.57,test
PI0002173,T000272,POI0038,January,afternoon,Z09,141.9,74.97,1519.6,73.68,86.0,62.0,86.0,100.0,59.1,3.06,56.76,73.69,test
PI0002174,T000272,POI0007,January,afternoon,Z09,139.4,87.12,1433.2,77.08,79.0,44.0,73.25,100.0,59.6,0.0,55.76,66.88,test
PI0002175,T000272,POI0018,January,evening,Z09,147.6,81.7,1975.0,76.54,47.0,95.0,71.0,100.0,86.2,14.51,59.04,78.41,test
PI0002176,T000272,POI0004,January,morning,Z09,155.0,84.0,2090.9,63.51,44.0,59.0,95.25,100.0,78.8,14.41,62.0,62.56,test
PI0002177,T000273,POI0020,February,afternoon,Z03,5.4,3.33,135.6,68.04,46.0,55.0,85.2,70.0,61.3,4.25,2.16,60.42,train
