interaction_id,traveller_id,poi_id,month,time_period,hotel_zone,travel_time_minutes,travel_distance_km,estimated_cost,preference_match,party_match,context_match,pace_match,accessibility_match,quality_component,cost_penalty,travel_burden,synthetic_suitability_score,split,traveller_type,adults,children,seniors,total_party_size,pace,budget_level,hotel_comfort,mobility_need,dietary_preference,preferred_transport,food_preference,culture_preference,nature_preference,beach_preference,wellness_preference,adventure_preference,nightlife_preference,shopping_preference,history_preference,photography_preference,wildlife_preference,spirituality_preference,category,typical_duration_minutes,accessibility_score,quality_score,food_affinity,culture_affinity,nature_affinity,beach_affinity,wellness_affinity,adventure_affinity,nightlife_affinity,shopping_affinity,history_affinity,photography_affinity,wildlife_affinity,spirituality_affinity
PI0001681,T000211,POI0048,December,afternoon,Z06,57.7,36.79,653.1,84.53,58.0,79.0,71.9,100.0,46.3,0.0,23.08,76.19,train,solo,1,0,0,1,packed,medium,budget,no_restriction,vegetarian,private_transport,84,85,45,47,68,43,62,74,61,86,21,74,market,98,60,46.3,78,80,19,1,22,31,23,72,18,28,0,7
PI0001682,T000211,POI0034,December,morning,Z06,10.2,0.97,1862.1,88.46,15.0,5.0,73.3,100.0,59.7,84.69,4.08,38.7,train,solo,1,0,0,1,packed,medium,budget,no_restriction,vegetarian,private_transport,84,85,45,47,68,43,62,74,61,86,21,74,nightlife,126,78,59.7,85,25,33,39,23,27,75,84,31,30,22,30
PI0001683,T000211,POI0038,December,morning,Z06,20.2,10.78,281.8,73.01,86.0,69.0,72.8,100.0,59.1,4.15,8.08,76.09,train,solo,1,0,0,1,packed,medium,budget,no_restriction,vegetarian,private_transport,84,85,45,47,68,43,62,74,61,86,21,74,waterfall,116,15,59.1,28,21,78,9,13,89,8,25,5,83,21,49
PI0001684,T000211,POI0020,December,evening,Z06,35.7,20.48,400.1,71.91,56.0,84.0,69.9,100.0,61.3,1.96,14.28,78.86,train,solo,1,0,0,1,packed,medium,budget,no_restriction,vegetarian,private_transport,84,85,45,47,68,43,62,74,61,86,21,74,viewpoint,58,70,61.3,0,10,71,10,22,17,16,18,22,76,28,27
PI0001685,T000211,POI0050,December,afternoon,Z06,130.8,72.24,1311.1,69.35,87.0,79.0,73.2,100.0,82.4,0.78,52.32,81.88,train,solo,1,0,0,1,packed,medium,budget,no_restriction,vegetarian,private_transport,84,85,45,47,68,43,62,74,61,86,21,74,waterfall,124,26,82.4,34,0,82,18,0,85,34,6,24,77,11,37
PI0001686,T000211,POI0041,December,afternoon,Z06,20.2,10.78,211.8,72.12,39.0,46.0,69.6,100.0,60.8,0.96,8.08,75.11,train,solo,1,0,0,1,packed,medium,budget,no_restriction,vegetarian,private_transport,84,85,45,47,68,43,62,74,61,86,21,74,viewpoint,52,82,60.8,11,17,83,16,41,18,17,0,9,82,11,36
PI0001687,T000211,POI0012,December,evening,Z06,27.3,14.29,253.7,83.79,79.0,68.0,73.8,100.0,66.6,0.0,10.92,80.72,train,solo,1,0,0,1,packed,medium,budget,no_restriction,vegetarian,private_transport,84,85,45,47,68,43,62,74,61,86,21,74,shopping,136,70,66.6,88,40,25,29,16,20,11,92,5,29,17,34
PI0001688,T000211,POI0029,December,afternoon,Z06,17.9,9.21,367.1,70.11,65.0,70.0,71.0,100.0,58.1,8.48,7.16,64.91,train,solo,1,0,0,1,packed,medium,budget,no_restriction,vegetarian,private_transport,84,85,45,47,68,43,62,74,61,86,21,74,nature,80,59,58.1,7,18,79,4,26,24,0,18,31,93,32,20
PI0001689,T000212,POI0020,December,morning,Z10,92.0,51.21,949.9,75.73,50.8,79.0,85.2,100.0,61.3,1.67,36.8,64.7,train,family,5,2,0,7,balanced,low,budget,no_restriction,vegan,lowest_cost,73,85,80,56,69,66,72,33,60,65,38,49,viewpoint,58,70,61.3,0,10,71,10,22,17,16,18,22,76,28,27
PI0001690,T000212,POI0046,December,morning,Z10,16.5,9.89,371.0,86.24,40.6,82.0,89.55,100.0,59.8,3.75,6.6,93.67,train,family,5,2,0,7,balanced,low,budget,no_restriction,vegan,lowest_cost,73,85,80,56,69,66,72,33,60,65,38,49,fort,87,100,59.8,18,78,27,27,27,38,37,15,87,80,20,12
PI0001691,T000212,POI0025,December,afternoon,Z10,63.6,39.05,950.5,81.32,28.2,58.0,84.0,100.0,75.9,3.96,25.44,59.17,train,family,5,2,0,7,balanced,low,budget,no_restriction,vegan,lowest_cost,73,85,80,56,69,66,72,33,60,65,38,49,waterfall,130,16,75.9,24,17,91,27,35,80,14,14,29,96,14,14
PI0001692,T000212,POI0019,December,afternoon,Z10,92.0,51.21,860.9,71.6,78.2,75.0,82.8,100.0,65.5,0.0,36.8,69.58,train,family,5,2,0,7,balanced,low,budget,no_restriction,vegan,lowest_cost,73,85,80,56,69,66,72,33,60,65,38,49,shopping,138,41,65.5,82,21,18,29,24,28,11,92,39,8,9,36
PI0001693,T000212,POI0053,December,afternoon,Z10,70.7,39.95,1022.3,68.53,95.0,79.0,87.45,100.0,54.4,6.14,28.28,81.42,train,family,5,2,0,7,balanced,low,budget,no_restriction,vegan,lowest_cost,73,85,80,56,69,66,72,33,60,65,38,49,museum,107,55,54.4,9,88,31,20,4,3,2,0,85,33,19,0
PI0001694,T000212,POI0012,December,morning,Z10,73.8,41.29,703.7,72.99,47.2,63.0,83.1,100.0,66.6,0.0,29.52,66.55,train,family,5,2,0,7,balanced,low,budget,no_restriction,vegan,lowest_cost,73,85,80,56,69,66,72,33,60,65,38,49,shopping,136,70,66.6,88,40,25,29,16,20,11,92,5,29,17,34
PI0001695,T000212,POI0017,December,evening,Z10,77.1,44.02,858.7,78.67,71.0,37.0,86.4,100.0,60.8,0.53,30.84,78.17,train,family,5,2,0,7,balanced,low,budget,no_restriction,vegan,lowest_cost,73,85,80,56,69,66,72,33,60,65,38,49,religious_site,66,89,60.8,43,100,20,21,32,9,23,19,87,9,0,68
PI0001696,T000212,POI0028,December,afternoon,Z10,63.6,39.05,739.5,76.38,61.6,72.0,90.0,100.0,63.8,0.0,25.44,90.33,train,family,5,2,0,7,balanced,low,budget,no_restriction,vegan,lowest_cost,73,85,80,56,69,66,72,33,60,65,38,49,shopping,90,70,63.8,90,28,27,24,0,21,13,74,40,40,36,23
PI0001697,T000213,POI0003,December,evening,Z10,65.4,41.68,872.5,73.64,60.0,93.0,95.5,100.0,70.0,2.88,26.16,82.85,train,solo,1,0,0,1,easy_going,low,premium,no_restriction,no_preference,balanced,44,30,89,84,70,59,59,58,0,81,48,4,photography,78,48,70.0,15,21,89,28,29,15,14,30,83,74,6,8
PI0001698,T000213,POI0035,December,morning,Z10,64.3,33.2,582.7,60.82,86.0,59.0,88.0,100.0,50.8,0.0,25.72,89.72,train,solo,1,0,0,1,easy_going,low,premium,no_restriction,no_preference,balanced,44,30,89,84,70,59,59,58,0,81,48,4,market,108,77,50.8,81,100,19,24,39,21,7,84,19,3,16,11
PI0001699,T000213,POI0020,December,morning,Z10,92.0,51.21,903.9,79.86,56.0,79.0,100.0,100.0,61.3,1.44,36.8,70.17,train,solo,1,0,0,1,easy_going,low,premium,no_restriction,no_preference,balanced,44,30,89,84,70,59,59,58,0,81,48,4,viewpoint,58,70,61.3,0,10,71,10,22,17,16,18,22,76,28,27
PI0001700,T000213,POI0044,December,evening,Z10,16.5,9.89,648.0,63.37,61.0,44.0,89.0,100.0,54.5,15.97,6.6,59.37,train,solo,1,0,0,1,easy_going,low,premium,no_restriction,no_preference,balanced,44,30,89,84,70,59,59,58,0,81,48,4,wildlife,104,36,54.5,30,14,83,11,0,3,0,0,5,35,84,35
PI0001701,T000213,POI0006,December,afternoon,Z10,65.4,41.68,786.5,84.89,57.0,69.0,78.0,100.0,64.0,0.0,26.16,80.91,train,solo,1,0,0,1,easy_going,low,premium,no_restriction,no_preference,balanced,44,30,89,84,70,59,59,58,0,81,48,4,beach,148,86,64.0,23,10,15,80,18,32,21,18,7,71,14,19
PI0001702,T000213,POI0055,December,afternoon,Z10,14.9,0.98,139.5,53.49,68.0,84.0,85.0,100.0,55.1,4.42,5.96,72.0,train,solo,1,0,0,1,easy_going,low,premium,no_restriction,no_preference,balanced,44,30,89,84,70,59,59,58,0,81,48,4,museum,120,37,55.1,17,83,14,32,34,17,0,27,89,23,31,6
PI0001703,T000213,POI0014,December,evening,Z10,77.1,44.02,4219.7,77.33,70.0,50.0,78.25,100.0,88.2,100.0,30.84,59.6,train,solo,1,0,0,1,easy_going,low,premium,no_restriction,no_preference,balanced,44,30,89,84,70,59,59,58,0,81,48,4,wellness,147,82,88.2,20,35,91,30,89,47,17,0,39,14,21,35
PI0001704,T000213,POI0036,December,afternoon,Z10,64.3,33.2,582.7,67.44,79.0,77.0,88.25,100.0,45.7,0.0,25.72,93.69,train,solo,1,0,0,1,easy_going,low,premium,no_restriction,no_preference,balanced,44,30,89,84,70,59,59,58,0,81,48,4,shopping,107,82,45.7,90,24,27,3,23,16,14,91,37,41,35,18
PI0001705,T000214,POI0046,October,afternoon,Z06,57.7,36.79,747.1,81.11,59.0,59.0,93.25,100.0,59.8,1.73,23.08,70.03,validation,couple,2,0,0,2,easy_going,medium,budget,no_restriction,vegetarian,lowest_cost,80,77,83,80,53,23,45,50,78,57,78,66,fort,87,100,59.8,18,78,27,27,27,38,37,15,87,80,20,12
PI0001706,T000214,POI0039,October,evening,Z06,20.2,10.78,1491.8,62.77,67.0,95.0,70.5,100.0,88.0,23.88,8.08,68.68,validation,couple,2,0,0,2,easy_going,medium,budget,no_restriction,vegetarian,lowest_cost,80,77,83,80,53,23,45,50,78,57,78,66,nightlife,178,84,88.0,83,6,17,0,9,22,95,100,12,37,22,18
PI0001707,T000214,POI0007,October,evening,Z06,27.3,14.29,253.7,77.49,70.0,92.0,73.25,100.0,59.6,0.0,10.92,72.29,validation,couple,2,0,0,2,easy_going,medium,budget,no_restriction,vegetarian,lowest_cost,80,77,83,80,53,23,45,50,78,57,78,66,beach,167,67,59.6,38,21,18,87,35,22,15,33,25,97,22,5
PI0001708,T000214,POI0001,October,afternoon,Z06,19.2,11.42,298.6,80.39,79.0,57.0,92.75,100.0,60.4,1.58,7.68,76.96,validation,couple,2,0,0,2,easy_going,medium,budget,no_restriction,vegetarian,lowest_cost,80,77,83,80,53,23,45,50,78,57,78,66,cultural_site,89,77,60.4,21,82,19,9,30,29,20,33,88,9,24,77
PI0001709,T000214,POI0008,October,afternoon,Z06,27.3,14.29,253.7,69.06,76.0,62.0,96.0,100.0,71.5,0.0,10.92,89.35,validation,couple,2,0,0,2,easy_going,medium,budget,no_restriction,vegetarian,lowest_cost,80,77,83,80,53,23,45,50,78,57,78,66,market,76,100,71.5,90,68,19,9,5,9,15,92,4,20,14,16
PI0001710,T000214,POI0036,October,morning,Z06,10.2,0.97,5.1,77.93,75.0,58.0,88.25,100.0,45.7,0.0,4.08,70.11,validation,couple,2,0,0,2,easy_going,medium,budget,no_restriction,vegetarian,lowest_cost,80,77,83,80,53,23,45,50,78,57,78,66,shopping,107,82,45.7,90,24,27,3,23,16,14,91,37,41,35,18
PI0001711,T000214,POI0019,October,afternoon,Z06,35.7,20.48,357.1,76.06,69.0,75.0,80.5,100.0,65.5,0.0,14.28,80.19,validation,couple,2,0,0,2,easy_going,medium,budget,no_restriction,vegetarian,lowest_cost,80,77,83,80,53,23,45,50,78,57,78,66,shopping,138,41,65.5,82,21,18,29,24,28,11,92,39,8,9,36
PI0001712,T000214,POI0001,October,morning,Z06,19.2,11.42,298.6,80.39,79.0,70.0,92.75,100.0,60.4,1.58,7.68,75.25,validation,couple,2,0,0,2,easy_going,medium,budget,no_restriction,vegetarian,lowest_cost,80,77,83,80,53,23,45,50,78,57,78,66,cultural_site,89,77,60.4,21,82,19,9,30,29,20,33,88,9,24,77
PI0001713,T000215,POI0012,March,morning,Z02,14.5,0.33,7.2,73.6,47.2,63.0,81.0,100.0,66.6,0.0,5.8,81.0,train,family,3,1,0,4,easy_going,high,luxury,no_restriction,no_preference,public_transport,98,17,19,14,57,44,24,42,67,28,91,30,shopping,136,70,66.6,88,40,25,29,16,20,11,92,5,29,17,34
PI0001714,T000215,POI0047,March,morning,Z02,93.9,50.96,991.4,56.9,53.6,88.0,100.0,100.0,70.7,0.1,37.56,62.66,train,family,3,1,0,4,easy_going,high,luxury,no_restriction,no_preference,public_transport,98,17,19,14,57,44,24,42,67,28,91,30,religious_site,44,66,70.7,15,67,23,30,1,12,6,8,85,0,27,91
PI0001715,T000215,POI0037,March,morning,Z02,41.6,24.46,396.6,69.6,62.0,64.0,83.25,100.0,63.0,0.0,16.64,61.54,train,family,3,1,0,4,easy_going,high,luxury,no_restriction,no_preference,public_transport,98,17,19,14,57,44,24,42,67,28,91,30,market,127,84,63.0,76,85,16,15,27,24,23,88,27,0,15,0
PI0001716,T000215,POI0059,March,morning,Z02,80.8,42.78,834.3,53.74,66.0,85.0,92.5,100.0,79.4,0.08,32.32,73.49,train,family,3,1,0,4,easy_going,high,luxury,no_restriction,no_preference,public_transport,98,17,19,14,57,44,24,42,67,28,91,30,cultural_site,90,76,79.4,21,84,23,33,0,31,20,17,73,26,0,90
PI0001717,T000215,POI0012,March,morning,Z02,14.5,0.33,7.2,73.6,47.2,63.0,81.0,100.0,66.6,0.0,5.8,76.36,train,family,3,1,0,4,easy_going,high,luxury,no_restriction,no_preference,public_transport,98,17,19,14,57,44,24,42,67,28,91,30,shopping,136,70,66.6,88,40,25,29,16,20,11,92,5,29,17,34
PI0001718,T000215,POI0039,March,afternoon,Z02,41.6,24.46,2323.6,68.01,2.4,15.0,70.5,100.0,88.0,3.93,16.64,54.79,train,family,3,1,0,4,easy_going,high,luxury,no_restriction,no_preference,public_transport,98,17,19,14,57,44,24,42,67,28,91,30,nightlife,178,84,88.0,83,6,17,0,9,22,95,100,12,37,22,18
PI0001719,T000215,POI0005,March,evening,Z02,3.2,1.95,4200.8,62.69,56.8,52.0,87.75,100.0,68.9,8.49,1.28,67.25,train,family,3,1,0,4,easy_going,high,luxury,no_restriction,no_preference,public_transport,98,17,19,14,57,44,24,42,67,28,91,30,adventure,109,87,68.9,22,20,97,17,7,86,22,36,30,24,37,5
PI0001720,T000215,POI0058,March,afternoon,Z02,80.8,42.78,827.3,65.16,84.6,78.0,92.75,100.0,68.6,0.06,32.32,80.18,train,family,3,1,0,4,easy_going,high,luxury,no_restriction,no_preference,public_transport,98,17,19,14,57,44,24,42,67,28,91,30,religious_site,89,76,68.6,36,89,22,17,15,23,16,19,85,11,26,100
PI0001721,T000216,POI0054,December,evening,Z03,145.6,86.76,1569.7,66.88,72.12,56.0,69.3,100.0,79.8,1.64,58.24,70.7,train,family,4,2,1,7,packed,low,standard,no_restriction,vegetarian,lowest_cost,92,50,89,73,68,27,32,53,42,68,42,54,cultural_site,46,34,79.8,22,80,19,12,7,15,6,23,75,28,5,80
PI0001722,T000216,POI0001,December,morning,Z03,8.3,4.68,339.3,68.95,61.16,70.0,71.45,100.0,60.4,6.68,3.32,80.1,train,family,4,2,1,7,packed,low,standard,no_restriction,vegetarian,lowest_cost,92,50,89,73,68,27,32,53,42,68,42,54,cultural_site,89,77,60.4,21,82,19,9,30,29,20,33,88,9,24,77
PI0001723,T000216,POI0025,December,evening,Z03,15.9,8.18,404.9,78.73,37.32,43.0,73.5,100.0,75.9,7.08,6.36,76.69,train,family,4,2,1,7,packed,low,standard,no_restriction,vegetarian,lowest_cost,92,50,89,73,68,27,32,53,42,68,42,54,waterfall,130,16,75.9,24,17,91,27,35,80,14,14,29,96,14,14
PI0001724,T000216,POI0010,December,afternoon,Z03,5.3,3.18,3075.0,76.2,76.76,60.0,72.0,100.0,86.1,81.23,2.12,69.34,train,family,4,2,1,7,packed,low,standard,no_restriction,vegetarian,lowest_cost,92,50,89,73,68,27,32,53,42,68,42,54,food,100,78,86.1,81,83,3,17,16,22,13,25,32,21,24,20
PI0001725,T000216,POI0004,December,afternoon,Z03,8.3,4.68,1426.3,70.97,61.4,66.0,70.95,100.0,78.8,35.95,3.32,73.04,train,family,4,2,1,7,packed,low,standard,no_restriction,vegetarian,lowest_cost,92,50,89,73,68,27,32,53,42,68,42,54,food,79,59,78.8,88,88,27,18,14,19,0,2,4,8,24,9
PI0001726,T000216,POI0016,December,morning,Z03,10.9,0.43,5.5,79.67,71.0,85.0,72.25,100.0,69.1,0.0,4.36,86.77,train,family,4,2,1,7,packed,low,standard,no_restriction,vegetarian,lowest_cost,92,50,89,73,68,27,32,53,42,68,42,54,beach,105,90,69.1,15,29,40,73,24,7,25,18,0,92,12,13
PI0001727,T000216,POI0023,December,evening,Z03,5.4,3.33,7056.6,72.41,46.84,51.0,77.05,100.0,73.0,100.0,2.16,53.85,train,family,4,2,1,7,packed,low,standard,no_restriction,vegetarian,lowest_cost,92,50,89,73,68,27,32,53,42,68,42,54,adventure,201,38,73.0,37,14,85,23,12,88,13,15,36,7,0,39
PI0001728,T000216,POI0024,December,afternoon,Z03,5.4,3.33,61.6,72.99,50.56,56.0,75.35,100.0,63.4,0.0,2.16,76.09,train,family,4,2,1,7,packed,low,standard,no_restriction,vegetarian,lowest_cost,92,50,89,73,68,27,32,53,42,68,42,54,beach,167,84,63.4,0,21,15,99,17,40,6,27,23,78,22,34
PI0001729,T000217,POI0048,March,morning,Z09,60.3,37.71,732.6,86.49,61.0,50.0,88.8,100.0,46.3,0.0,24.12,84.26,train,seniors,0,0,4,4,balanced,medium,standard,no_restriction,vegan,private_transport,81,84,62,56,41,29,56,91,48,37,19,72,market,98,60,46.3,78,80,19,1,22,31,23,72,18,28,0,7
PI0001730,T000217,POI0022,March,evening,Z09,164.4,89.55,7205.3,80.48,68.0,95.0,84.0,100.0,55.1,43.11,65.76,59.66,train,seniors,0,0,4,4,balanced,medium,standard,no_restriction,vegan,private_transport,81,84,62,56,41,29,56,91,48,37,19,72,nightlife,130,46,55.1,71,4,14,13,29,22,70,89,13,35,12,12
PI0001731,T000217,POI0049,March,evening,Z09,10.9,0.35,42.5,77.61,71.0,38.0,88.2,100.0,79.2,0.28,4.36,74.56,train,seniors,0,0,4,4,balanced,medium,standard,no_restriction,vegan,private_transport,81,84,62,56,41,29,56,91,48,37,19,72,religious_site,78,80,79.2,4,87,42,25,15,13,15,16,81,30,0,91
PI0001732,T000217,POI0009,March,afternoon,Z09,139.4,87.12,14191.2,60.0,47.0,84.0,77.85,100.0,61.1,96.57,55.76,30.09,train,seniors,0,0,4,4,balanced,medium,standard,no_restriction,vegan,private_transport,81,84,62,56,41,29,56,91,48,37,19,72,wellness,171,52,61.1,2,12,87,34,79,12,0,18,7,13,9,18
PI0001733,T000217,POI0029,March,afternoon,Z09,128.7,79.6,2045.6,60.58,46.0,70.0,88.5,100.0,58.1,4.89,51.48,49.04,train,seniors,0,0,4,4,balanced,medium,standard,no_restriction,vegan,private_transport,81,84,62,56,41,29,56,91,48,37,19,72,nature,80,59,58.1,7,18,79,4,26,24,0,18,31,93,32,20
PI0001734,T000217,POI0034,March,evening,Z09,119.4,74.3,7714.6,91.9,70.0,95.0,84.6,100.0,59.7,48.9,47.76,60.18,train,seniors,0,0,4,4,balanced,medium,standard,no_restriction,vegan,private_transport,81,84,62,56,41,29,56,91,48,37,19,72,nightlife,126,78,59.7,85,25,33,39,23,27,75,84,31,30,22,30
PI0001735,T000217,POI0054,March,afternoon,Z09,10.9,0.35,81.5,79.04,66.0,66.0,83.4,100.0,79.8,0.58,4.36,79.77,train,seniors,0,0,4,4,balanced,medium,standard,no_restriction,vegan,private_transport,81,84,62,56,41,29,56,91,48,37,19,72,cultural_site,46,34,79.8,22,80,19,12,7,15,6,23,75,28,5,80
PI0001736,T000217,POI0046,March,evening,Z09,60.3,37.71,1014.6,74.57,65.0,60.0,89.55,100.0,59.8,2.13,24.12,78.81,train,seniors,0,0,4,4,balanced,medium,standard,no_restriction,vegan,private_transport,81,84,62,56,41,29,56,91,48,37,19,72,fort,87,100,59.8,18,78,27,27,27,38,37,15,87,80,20,12
PI0001737,T000218,POI0051,February,morning,Z08,71.3,37.85,2490.4,78.66,61.0,78.0,74.5,100.0,74.2,16.32,28.52,75.79,train,friends,6,0,0,6,easy_going,medium,standard,no_restriction,vegan,lowest_cost,56,63,91,41,57,47,53,6,89,91,54,55,wellness,162,53,74.2,27,19,89,14,100,1,35,36,9,46,31,31
PI0001738,T000218,POI0025,February,morning,Z08,71.6,42.09,826.4,85.1,61.0,82.0,82.5,100.0,75.9,0.92,28.64,85.05,train,friends,6,0,0,6,easy_going,medium,standard,no_restriction,vegan,lowest_cost,56,63,91,41,57,47,53,6,89,91,54,55,waterfall,130,16,75.9,24,17,91,27,35,80,14,14,29,96,14,14
PI0001739,T000218,POI0054,February,evening,Z08,71.3,37.85,690.4,75.7,77.0,56.0,100.0,100.0,79.8,0.21,28.52,79.22,train,friends,6,0,0,6,easy_going,medium,standard,no_restriction,vegan,lowest_cost,56,63,91,41,57,47,53,6,89,91,54,55,cultural_site,46,34,79.8,22,80,19,12,7,15,6,23,75,28,5,80
PI0001740,T000218,POI0024,February,morning,Z08,94.2,59.11,1125.5,69.91,29.0,82.0,73.25,100.0,63.4,0.0,37.68,66.87,train,friends,6,0,0,6,easy_going,medium,standard,no_restriction,vegan,lowest_cost,56,63,91,41,57,47,53,6,89,91,54,55,beach,167,84,63.4,0,21,15,99,17,40,6,27,23,78,22,34
PI0001741,T000218,POI0011,February,evening,Z08,95.8,52.69,1132.2,72.81,60.0,41.0,99.25,100.0,59.9,1.57,38.32,75.88,train,friends,6,0,0,6,easy_going,medium,standard,no_restriction,vegan,lowest_cost,56,63,91,41,57,47,53,6,89,91,54,55,museum,63,93,59.9,6,81,23,20,16,18,16,21,96,0,17,22
PI0001742,T000218,POI0052,February,evening,Z08,71.3,37.85,666.4,77.88,66.0,93.0,80.25,100.0,88.6,0.0,28.52,79.1,train,friends,6,0,0,6,easy_going,medium,standard,no_restriction,vegan,lowest_cost,56,63,91,41,57,47,53,6,89,91,54,55,beach,139,100,88.6,18,14,0,75,33,12,24,3,37,83,23,47
PI0001743,T000218,POI0048,February,evening,Z08,10.2,0.86,5.1,63.31,71.0,71.0,90.5,100.0,46.3,0.0,4.08,77.36,train,friends,6,0,0,6,easy_going,medium,standard,no_restriction,vegan,lowest_cost,56,63,91,41,57,47,53,6,89,91,54,55,market,98,60,46.3,78,80,19,1,22,31,23,72,18,28,0,7
PI0001744,T000218,POI0016,February,afternoon,Z08,92.1,54.2,1018.0,75.07,60.0,66.0,88.75,100.0,69.1,0.0,36.84,62.68,train,friends,6,0,0,6,easy_going,medium,standard,no_restriction,vegan,lowest_cost,56,63,91,41,57,47,53,6,89,91,54,55,beach,105,90,69.1,15,29,40,73,24,7,25,18,0,92,12,13
PI0001745,T000219,POI0054,February,morning,Z05,139.6,74.19,1460.5,80.01,81.0,70.0,100.0,100.0,79.8,0.77,55.84,76.84,train,couple,2,0,0,2,easy_going,low,standard,no_restriction,no_preference,balanced,76,74,76,53,28,17,12,66,61,49,64,65,cultural_site,46,34,79.8,22,80,19,12,7,15,6,23,75,28,5,80
PI0001746,T000219,POI0017,February,morning,Z05,15.9,8.61,183.8,79.47,82.0,64.0,98.5,100.0,60.8,0.51,6.36,88.31,train,couple,2,0,0,2,easy_going,low,standard,no_restriction,no_preference,balanced,76,74,76,53,28,17,12,66,61,49,64,65,religious_site,66,89,60.8,43,100,20,21,32,9,23,19,87,9,0,68
PI0001747,T000219,POI0008,February,morning,Z05,9.6,5.48,105.3,77.9,76.0,53.0,96.0,100.0,71.5,0.0,3.84,80.15,train,couple,2,0,0,2,easy_going,low,standard,no_restriction,no_preference,balanced,76,74,76,53,28,17,12,66,61,49,64,65,market,76,100,71.5,90,68,19,9,5,9,15,92,4,20,14,16
PI0001748,T000219,POI0055,February,evening,Z05,61.1,39.15,850.8,78.41,91.0,55.0,85.0,100.0,55.1,4.23,24.44,79.67,train,couple,2,0,0,2,easy_going,low,standard,no_restriction,no_preference,balanced,76,74,76,53,28,17,12,66,61,49,64,65,museum,120,37,55.1,17,83,14,32,34,17,0,27,89,23,31,6
PI0001749,T000219,POI0037,February,morning,Z05,35.5,18.74,315.5,77.36,86.0,64.0,83.25,100.0,63.0,0.0,14.2,70.62,train,couple,2,0,0,2,easy_going,low,standard,no_restriction,no_preference,balanced,76,74,76,53,28,17,12,66,61,49,64,65,market,127,84,63.0,76,85,16,15,27,24,23,88,27,0,15,0
PI0001750,T000219,POI0010,February,evening,Z05,9.6,5.48,1174.3,82.3,89.0,71.0,90.0,100.0,86.1,34.25,3.84,85.94,train,couple,2,0,0,2,easy_going,low,standard,no_restriction,no_preference,balanced,76,74,76,53,28,17,12,66,61,49,64,65,food,100,78,86.1,81,83,3,17,16,22,13,25,32,21,24,20
PI0001751,T000219,POI0044,February,afternoon,Z05,81.3,42.34,1171.6,75.15,61.0,56.0,89.0,100.0,54.5,15.28,32.52,70.18,train,couple,2,0,0,2,easy_going,low,standard,no_restriction,no_preference,balanced,76,74,76,53,28,17,12,66,61,49,64,65,wildlife,104,36,54.5,30,14,83,11,0,3,0,0,5,35,84,35
PI0001752,T000219,POI0009,February,afternoon,Z05,9.6,5.48,3975.3,62.44,79.0,84.0,72.25,100.0,61.1,100.0,3.84,59.02,train,couple,2,0,0,2,easy_going,low,standard,no_restriction,no_preference,balanced,76,74,76,53,28,17,12,66,61,49,64,65,wellness,171,52,61.1,2,12,87,34,79,12,0,18,7,13,9,18
PI0001753,T000220,POI0049,January,evening,Z06,130.8,72.24,1303.1,68.04,74.0,38.0,70.9,100.0,79.2,0.22,52.32,74.59,train,couple,2,0,0,2,packed,medium,budget,no_restriction,no_preference,lowest_cost,82,69,77,52,52,57,74,66,45,65,64,47,religious_site,78,80,79.2,4,87,42,25,15,13,15,16,81,30,0,91
PI0001754,T000220,POI0013,January,afternoon,Z06,32.9,17.46,384.6,73.51,73.0,70.0,72.15,100.0,69.4,1.8,13.16,89.41,train,couple,2,0,0,2,packed,medium,budget,no_restriction,no_preference,lowest_cost,82,69,77,52,52,57,74,66,45,65,64,47,fort,103,56,69.4,24,97,0,12,27,1,37,24,91,80,29,32
PI0001755,T000220,POI0004,January,morning,Z06,19.2,11.42,641.6,71.1,80.0,59.0,70.95,100.0,78.8,10.44,7.68,81.85,train,couple,2,0,0,2,packed,medium,budget,no_restriction,no_preference,lowest_cost,82,69,77,52,52,57,74,66,45,65,64,47,food,79,59,78.8,88,88,27,18,14,19,0,2,4,8,24,9
PI0001756,T000220,POI0014,January,evening,Z06,32.9,17.46,3699.6,77.73,69.0,50.0,74.35,100.0,88.2,82.5,13.16,56.42,train,couple,2,0,0,2,packed,medium,budget,no_restriction,no_preference,lowest_cost,82,69,77,52,52,57,74,66,45,65,64,47,wellness,147,82,88.2,20,35,91,30,89,47,17,0,39,14,21,35
PI0001757,T000220,POI0036,January,morning,Z06,10.2,0.97,5.1,82.89,75.0,58.0,72.35,100.0,45.7,0.0,4.08,70.38,train,couple,2,0,0,2,packed,medium,budget,no_restriction,no_preference,lowest_cost,82,69,77,52,52,57,74,66,45,65,64,47,shopping,107,82,45.7,90,24,27,3,23,16,14,91,37,41,35,18
PI0001758,T000220,POI0048,January,evening,Z06,57.7,36.79,653.1,80.43,80.0,71.0,71.9,100.0,46.3,0.0,23.08,70.03,train,couple,2,0,0,2,packed,medium,budget,no_restriction,no_preference,lowest_cost,82,69,77,52,52,57,74,66,45,65,64,47,market,98,60,46.3,78,80,19,1,22,31,23,72,18,28,0,7
PI0001759,T000220,POI0038,January,evening,Z06,20.2,10.78,281.8,77.52,67.0,48.0,72.8,100.0,59.1,2.22,8.08,69.25,train,couple,2,0,0,2,packed,medium,budget,no_restriction,no_preference,lowest_cost,82,69,77,52,52,57,74,66,45,65,64,47,waterfall,116,15,59.1,28,21,78,9,13,89,8,25,5,83,21,49
